id,subject,number,answer,student_id
286,상황,36,5,2
287,상황,37,2,2
288,상황,38,1,2
289,상황,39,4,2
290,상황,40,5,2
291,헌법,1,4,3
292,헌법,2,4,3
293,헌법,3,4,3
294,헌법,4,3,3
295,헌법,5,1,3
296,헌법,6,3,3
297,헌법,7,4,3
298,헌법,8,1,3
299,헌법,9,1,3
300,헌법,10,2,3
301,헌법,11,4,3
302,헌법,12,3,3
303,헌법,13,1,3
304,헌법,14,3,3
305,헌법,15,4,3
306,헌법,16,2,3
307,헌법,17,3,3
308,헌법,18,2,3
309,헌법,19,3,3
310,헌법,20,2,3
311,헌법,21,3,3
312,헌법,22,3,3
313,헌법,23,3,3
314,헌법,24,2,3
315,헌법,25,1,3
316,언어,1,3,3
317,언어,2,3,3
318,언어,3,3,3
319,언어,4,5,3
320,언어,5,1,3
321,언어,6,5,3
322,언어,7,2,3
323,언어,8,2,3
324,언어,9,2,3
325,언어,10,2,3
326,언어,11,3,3
327,언어,12,3,3
328,언어,13,1,3
329,언어,14,3,3
330,언어,15,3,3
331,언어,16,5,3
332,언어,17,5,3
333,언어,18,5,3
334,언어,19,2,3
335,언어,20,5,3
336,언어,21,5,3
337,언어,22,4,3
338,언어,23,5,3
339,언어,24,5,3
340,언어,25,4,3
341,언어,26,5,3
342,언어,27,4,3
343,언어,28,5,3
344,언어,29,1,3
345,언어,30,2,3
346,언어,31,3,3
347,언어,32,3,3
348,언어,33,4,3
349,언어,34,2,3
350,언어,35,3,3
351,언어,36,3,3
352,언어,37,2,3
353,언어,38,3,3
354,언어,39,5,3
355,언어,40,3,3
356,자료,1,5,3
357,자료,2,4,3
358,자료,3,5,3
359,자료,4,1,3
360,자료,5,1,3
361,자료,6,4,3
362,자료,7,3,3
363,자료,8,3,3
364,자료,9,5,3
365,자료,10,3,3
366,자료,11,1,3
367,자료,12,2,3
368,자료,13,1,3
369,자료,14,2,3
370,자료,15,5,3
371,자료,16,3,3
372,자료,17,2,3
373,자료,18,4,3
374,자료,19,1,3
375,자료,20,3,3
376,자료,21,5,3
377,자료,22,4,3
378,자료,23,4,3
379,자료,24,4,3
380,자료,25,2,3
381,자료,26,4,3
382,자료,27,2,3
383,자료,28,2,3
384,자료,29,3,3
385,자료,30,3,3
386,자료,31,5,3
387,자료,32,5,3
388,자료,33,3,3
389,자료,34,2,3
390,자료,35,3,3
391,자료,36,5,3
392,자료,37,1,3
393,자료,38,5,3
394,자료,39,3,3
395,자료,40,3,3
396,상황,1,4,3
397,상황,2,3,3
398,상황,3,4,3
399,상황,4,1,3
400,상황,5,1,3
401,상황,6,5,3
402,상황,7,5,3
403,상황,8,2,3
404,상황,9,5,3
405,상황,10,3,3
406,상황,11,5,3
407,상황,12,1,3
408,상황,13,2,3
409,상황,14,3,3
410,상황,15,1,3
411,상황,16,4,3
412,상황,17,3,3
413,상황,18,1,3
414,상황,19,3,3
415,상황,20,3,3
416,상황,21,3,3
417,상황,22,2,3
418,상황,23,4,3
419,상황,24,3,3
420,상황,25,2,3
421,상황,26,3,3
422,상황,27,4,3
423,상황,28,2,3
424,상황,29,3,3
425,상황,30,4,3
426,상황,31,2,3
427,상황,32,4,3
428,상황,33,4,3
429,상황,34,3,3
430,상황,35,3,3
431,상황,36,4,3
432,상황,37,3,3
433,상황,38,3,3
434,상황,39,3,3
435,상황,40,3,3
436,헌법,1,4,4
437,헌법,2,4,4
438,헌법,3,2,4
439,헌법,4,3,4
440,헌법,5,3,4
441,헌법,6,1,4
442,헌법,7,4,4
443,헌법,8,4,4
444,헌법,9,3,4
445,헌법,10,2,4
446,헌법,11,3,4
447,헌법,12,3,4
448,헌법,13,1,4
449,헌법,14,2,4
450,헌법,15,4,4
451,헌법,16,4,4
452,헌법,17,3,4
453,헌법,18,2,4
454,헌법,19,3,4
455,헌법,20,4,4
456,헌법,21,1,4
457,헌법,22,3,4
458,헌법,23,1,4
459,헌법,24,2,4
460,헌법,25,1,4
461,언어,1,3,4
462,언어,2,3,4
463,언어,3,3,4
464,언어,4,5,4
465,언어,5,1,4
466,언어,6,2,4
467,언어,7,1,4
468,언어,8,2,4
469,언어,9,2,4
470,언어,10,2,4
471,언어,11,3,4
472,언어,12,1,4
473,언어,13,3,4
474,언어,14,3,4
475,언어,15,2,4
476,언어,16,4,4
477,언어,17,5,4
478,언어,18,2,4
479,언어,19,2,4
480,언어,20,5,4
481,언어,21,5,4
482,언어,22,5,4
483,언어,23,5,4
484,언어,24,5,4
485,언어,25,4,4
486,언어,26,5,4
487,언어,27,4,4
488,언어,28,5,4
489,언어,29,1,4
490,언어,30,4,4
491,언어,31,2,4
492,언어,32,3,4
493,언어,33,4,4
494,언어,34,2,4
495,언어,35,3,4
496,언어,36,3,4
497,언어,37,4,4
498,언어,38,3,4
499,언어,39,5,4
500,언어,40,4,4
501,자료,1,5,4
502,자료,2,3,4
503,자료,3,3,4
504,자료,4,3,4
505,자료,5,3,4
506,자료,6,4,4
507,자료,7,4,4
508,자료,8,1,4
509,자료,9,5,4
510,자료,10,1,4
511,자료,11,1,4
512,자료,12,2,4
513,자료,13,1,4
514,자료,14,4,4
515,자료,15,4,4
516,자료,16,3,4
517,자료,17,2,4
518,자료,18,4,4
519,자료,19,1,4
520,자료,20,3,4
521,자료,21,5,4
522,자료,22,1,4
523,자료,23,4,4
524,자료,24,4,4
525,자료,25,1,4
526,자료,26,4,4
527,자료,27,1,4
528,자료,28,4,4
529,자료,29,3,4
530,자료,30,3,4
531,자료,31,4,4
532,자료,32,2,4
533,자료,33,5,4
534,자료,34,2,4
535,자료,35,5,4
536,자료,36,4,4
537,자료,37,4,4
538,자료,38,3,4
539,자료,39,4,4
540,자료,40,5,4
541,상황,1,4,4
542,상황,2,1,4
543,상황,3,3,4
544,상황,4,1,4
545,상황,5,2,4
546,상황,6,5,4
547,상황,7,5,4
548,상황,8,1,4
549,상황,9,4,4
550,상황,10,5,4
551,상황,11,5,4
552,상황,12,1,4
553,상황,13,4,4
554,상황,14,4,4
555,상황,15,5,4
556,상황,16,2,4
557,상황,17,3,4
558,상황,18,1,4
559,상황,19,5,4
560,상황,20,2,4
561,상황,21,1,4
562,상황,22,2,4
563,상황,23,2,4
564,상황,24,3,4
565,상황,25,2,4
566,상황,26,3,4
567,상황,27,4,4
568,상황,28,2,4
569,상황,29,5,4
570,상황,30,3,4
571,상황,31,3,4
572,상황,32,5,4
573,상황,33,4,4
574,상황,34,4,4
575,상황,35,4,4
576,상황,36,5,4
577,상황,37,4,4
578,상황,38,3,4
579,상황,39,4,4
580,상황,40,2,4
581,헌법,1,3,5
582,헌법,2,4,5
583,헌법,3,2,5
584,헌법,4,3,5
585,헌법,5,3,5
586,헌법,6,4,5
587,헌법,7,4,5
588,헌법,8,1,5
589,헌법,9,2,5
590,헌법,10,2,5
591,헌법,11,1,5
592,헌법,12,3,5
593,헌법,13,1,5
594,헌법,14,2,5
595,헌법,15,2,5
596,헌법,16,4,5
597,헌법,17,4,5
598,헌법,18,1,5
599,헌법,19,2,5
600,헌법,20,3,5
601,헌법,21,2,5
602,헌법,22,3,5
603,헌법,23,4,5
604,헌법,24,4,5
605,헌법,25,3,5
606,언어,1,3,5
607,언어,2,1,5
608,언어,3,3,5
609,언어,4,5,5
610,언어,5,1,5
611,언어,6,2,5
612,언어,7,4,5
613,언어,8,2,5
614,언어,9,2,5
615,언어,10,2,5
616,언어,11,3,5
617,언어,12,1,5
618,언어,13,1,5
619,언어,14,3,5
620,언어,15,5,5
621,언어,16,1,5
622,언어,17,4,5
623,언어,18,4,5
624,언어,19,4,5
625,언어,20,4,5
626,언어,21,4,5
627,언어,22,4,5
628,언어,23,4,5
629,언어,24,4,5
630,언어,25,4,5
631,언어,26,4,5
632,언어,27,4,5
633,언어,28,4,5
634,언어,29,4,5
635,언어,30,4,5
636,언어,31,4,5
637,언어,32,4,5
